
Number of requests,Medium response time,Error percentage,Throughput
66000,609.77922ms,0,854.3012578652167
Type,Requests per second,Duration,
grpc,10000,3s,
grpc,12000,3s,
Response time,Success,Error,End time
99.076793ms,true,-,May  8 14:14:07.532458963
185.2724ms,true,-,May  8 14:14:07.532492455
99.40269ms,true,-,May  8 14:14:07.532556977
185.343926ms,true,-,May  8 14:14:07.532566609
99.33828ms,true,-,May  8 14:14:07.533085665
99.852221ms,true,-,May  8 14:14:07.533104597
93.448845ms,true,-,May  8 14:14:07.533138894
99.956645ms,true,-,May  8 14:14:07.533209305
99.685064ms,true,-,May  8 14:14:07.533237110
99.535199ms,true,-,May  8 14:14:07.533285070
98.593066ms,true,-,May  8 14:14:07.533314177
99.589128ms,true,-,May  8 14:14:07.533338125
99.694441ms,true,-,May  8 14:14:07.533460215
96.715183ms,true,-,May  8 14:14:07.533469511
99.801816ms,true,-,May  8 14:14:07.533489724
194.717936ms,true,-,May  8 14:14:07.533492111
99.719887ms,true,-,May  8 14:14:07.533496371
93.606583ms,true,-,May  8 14:14:07.533572880
93.823938ms,true,-,May  8 14:14:07.533707351
96.829096ms,true,-,May  8 14:14:07.533722635
94.038366ms,true,-,May  8 14:14:07.533791897
98.273056ms,true,-,May  8 14:14:07.535074920
95.249564ms,true,-,May  8 14:14:07.535301063
98.820833ms,true,-,May  8 14:14:07.535375723
95.297233ms,true,-,May  8 14:14:07.535434238
95.692526ms,true,-,May  8 14:14:07.535444367
101.953075ms,true,-,May  8 14:14:07.535452338
98.329533ms,true,-,May  8 14:14:07.535604410
98.65521ms,true,-,May  8 14:14:07.535607403
96.043439ms,true,-,May  8 14:14:07.535625033
95.829818ms,true,-,May  8 14:14:07.535630955
98.595981ms,true,-,May  8 14:14:07.535666920
95.684314ms,true,-,May  8 14:14:07.535679196
95.209386ms,true,-,May  8 14:14:07.535717831
98.70756ms,true,-,May  8 14:14:07.535863568
95.985413ms,true,-,May  8 14:14:07.535899116
100.381678ms,true,-,May  8 14:14:07.535903485
100.808585ms,true,-,May  8 14:14:07.538109462
98.192695ms,true,-,May  8 14:14:07.538135437
101.179586ms,true,-,May  8 14:14:07.538197455
104.733276ms,true,-,May  8 14:14:07.538380163
98.286248ms,true,-,May  8 14:14:07.538408934
98.48364ms,true,-,May  8 14:14:07.538409137
96.413765ms,true,-,May  8 14:14:07.538435126
101.905216ms,true,-,May  8 14:14:07.538508261
101.484514ms,true,-,May  8 14:14:07.538532485
98.939089ms,true,-,May  8 14:14:07.538567684
96.891022ms,true,-,May  8 14:14:07.538597874
102.458191ms,true,-,May  8 14:14:07.538600580
103.951216ms,true,-,May  8 14:14:07.538622294
105.195539ms,true,-,May  8 14:14:07.538646220
105.151344ms,true,-,May  8 14:14:07.538675431
97.231838ms,true,-,May  8 14:14:07.538705155
105.460644ms,true,-,May  8 14:14:07.538713162
100.812027ms,true,-,May  8 14:14:07.542731129
106.047676ms,true,-,May  8 14:14:07.542793123
105.543274ms,true,-,May  8 14:14:07.542910846
109.682015ms,true,-,May  8 14:14:07.543017762
101.113087ms,true,-,May  8 14:14:07.543046850
101.637362ms,true,-,May  8 14:14:07.543125406
106.12408ms,true,-,May  8 14:14:07.543130385
106.633365ms,true,-,May  8 14:14:07.543141113
101.360465ms,true,-,May  8 14:14:07.543145363
105.5534ms,true,-,May  8 14:14:07.543153418
107.057533ms,true,-,May  8 14:14:07.543172897
107.005049ms,true,-,May  8 14:14:07.543205276
106.773125ms,true,-,May  8 14:14:07.543253278
109.746341ms,true,-,May  8 14:14:07.543310512
107.143499ms,true,-,May  8 14:14:07.543347667
102.272769ms,true,-,May  8 14:14:07.544266834
11.073603ms,true,-,May  8 14:14:07.544366940
102.652133ms,true,-,May  8 14:14:07.544576748
99.254421ms,true,-,May  8 14:14:07.631895142
98.768149ms,true,-,May  8 14:14:07.631979821
194.729237ms,true,-,May  8 14:14:07.631986974
189.779086ms,true,-,May  8 14:14:07.632052005
98.752517ms,true,-,May  8 14:14:07.632068724
96.637297ms,true,-,May  8 14:14:07.632097224
98.897991ms,true,-,May  8 14:14:07.632144461
191.037353ms,true,-,May  8 14:14:07.632872180
100.766582ms,true,-,May  8 14:14:07.632992265
100.44615ms,true,-,May  8 14:14:07.633020296
99.624441ms,true,-,May  8 14:14:07.633124042
97.299106ms,true,-,May  8 14:14:07.633176973
97.893156ms,true,-,May  8 14:14:07.633198620
191.362126ms,true,-,May  8 14:14:07.633273978
191.362539ms,true,-,May  8 14:14:07.633439695
192.491707ms,true,-,May  8 14:14:07.634036840
196.87873ms,true,-,May  8 14:14:07.634049509
101.820952ms,true,-,May  8 14:14:07.634098759
192.717092ms,true,-,May  8 14:14:07.634281193
95.748706ms,true,-,May  8 14:14:07.634286386
194.693534ms,true,-,May  8 14:14:07.634335489
192.723928ms,true,-,May  8 14:14:07.634470963
98.804921ms,true,-,May  8 14:14:07.634489561
